Bath temp (C),Decade set (ohm/10),Circ temp (C)
10,6474,6
11,6171,7
12,5884,8.5
13,5612,9.5
14,5354,10.5
15,5109,11.5
16,4877,12.5
17,4657,13.5
18,4448,14.5
19,4249,15.5
20,4061,16.5
21,3881,17.5
22,3711,18.5
23,3549,19.5
24,3395,21
25,3249,22
26,3109,23
27,2977,24
28,2850,25
29,2730,26
30,2616,27
31,2507,28
32,2403,29
33,2304,30
34,2209,31
35,2119,32
36,2033,33
37,1951,34.5
38,1873,35.5
39,1798,36.5
40,1727,37.5
41,1659,38.5
42,1594,39.5
43,1531,40.5
44,1472,41.5
45,1415,42.5
46,1361,43.5
47,1309,44.5
48,1259,45.5
49,1211,46.5
